_id,_name,_industry,_sector,_headquarters,_founded
2968,MachineGames,Technology,Software,Uppsala,2009
2969,M�larenergi,Utilities,Conventional electricity,V�ster�s,1861
2970,Maratone Studios,Consumer services,Broadcasting & entertainment,Stockholm,2001
2971,Massive Entertainment,Technology,Software,Malm�,1997
2972,Mecel,Technology,Software,Gothenburg,1982
2973,Meda AB,Health care,Pharmaceuticals,Solna,1954
2974,Micromy,Basic materials,Specialty chemicals,T�by,2009
2975,Modern Times Group (MTG),Consumer services,Broadcasting & entertainment,Stockholm,1987
2976,Mojang,Technology,Software,Stockholm,2009
2977,M�lnlycke Health Care,Health care,Medical equipment,Gothenburg,1849
2978,Monark,Consumer goods,Recreational products,Vansbro,1908
2979,MySQL AB,Technology,Software,Uppsala,1995
2980,Najad Yachts,Consumer goods,Recreational products,Hen�n,1971
2981,Nanoradio,Technology,Semiconductors,Kista,2004
2982,Nasdaq Nordic,Financials,Investment services,Stockholm,2003
2983,NCC AB,Industrials,Heavy construction,Solna,1988
2984,Neogames,Consumer services,Publishing,Gothenburg,2006
2985,Neonode,Telecommunications,Computer hardware,Stockholm,2001
2986,Nextjet,Consumer services,Airlines,Stockholm,2002
2987,Nobia,Consumer goods,Durable household products,Stockholm,1996
2988,Nobina,Consumer services,Travel & tourism,Stockholm,1999
2989,NOHAB,Industrials,Diversified industrials,Trollh�ttan,1916
2990,Nordiska Kompaniet,Consumer services,Broadline retailers,Stockholm,1864
2991,Nordstjernan,Conglomerates,-,Stockholm,1890
2992,NorthStar,Industrials,General industries,Stockholm,2000
2993,Nudie Jeans,Consumer goods,Clothing & accessories,Gothenburg,2001
2994,Nyby bruk,Basic materials,Iron & steel,Torsh�lla,1829
2995,Nyfors,Technology,Telecommunications equipment,Stockholm,1987
2996,Nynas,Oil & gas,Exploration & production,Stockholm,1928
2997,Odd Molly,Consumer goods,Clothing & accessories,Stockholm,2002
2998,�hlins,Consumer goods,Auto parts,Upplands V�sby,1976
2999,Onoff,Consumer services,Broadline retailers,Upplands V�sby,1971
3000,Orexo,Health care,Pharmaceuticals,Uppsala,1995
3001,Oriflame,Consumer goods,Personal products,Stockholm,1967
3002,Orrefors glassworks,Industrials,Building materials & fixtures,Orrefors,1898
3003,Oskarshamn Shipyard,Industrials,Commercial vehicles & trucks,Oskarshamn,1863
3004,Ovako,Basic materials,Iron & steel,Stockholm,1969
3005,P�gen,Consumer goods,Food products,Malm�,1878
3006,Paradox Interactive,Technology,Software,Stockholm,1999
3007,Peab,Industrials,Heavy construction,F�rsl�v,1959
3008,Peltarion,Technology,Software,Stockholm,2004
3009,Phadia,Health care,Medical equipment,Uppsala,1971
3010,Pharmacia,Health care,Pharmaceuticals,Stockholm,1911
3011,Polarbr�d,Consumer goods,Food products,�lvsbyn,1972[14]
3012,PostNord,Industrials,Delivery services,Solna,2009
3013,PostNord Sverige,Industrials,Delivery services,Solna,1636
3014,Primus AB,Consumer goods,Household goods,Stockholm,1892
3015,Pripps,Consumer goods,Brewers,Gothenburg,1828
3016,Profoto,Industrials,Building materials & fixtures,Stockholm,1968
3017,Promessa Organic,Health care,Health care providers,Gothenburg,2001
3018,PS Communication,Industrials,Business support services,Stockholm,1997
3019,Ratos,Financials,Real estate holding & development,Stockholm,1933
3020,ReadSoft,Technology,Software,Helsingborg,1991
3021,Recipharm,Health care,Pharmaceuticals,Haninge,1995
3022,Rederi AB Slite,Consumer services,Travel & tourism,Gothenburg,1947
3023,Remograph,Technology,Software,Link�ping,2005
3024,Resurs Holding,Financials,Banks,Helsingborg,2001
3025,Saab Automobile,Consumer goods,Automobiles,Trollh�ttan,1945
3026,Saab Group,Industrials,Aerospace,Stockholm,1937
3027,SamLogic,Technology,Software,Stockholm,1992
3028,Sandvik,Industrials,Industrial engineering,Stockholm,1862
3029,SAS Group (Swedish-Norwegian-Danish),Consumer services,Airlines,Solna,1946
3030,SCA,Basic materials,Paper,Stockholm,1929
3031,Scalado,Technology,Software,Lund,2000
3032,Scandic Hotels,Consumer services,Hotels,Stockholm,1963
3033,Scania AB,Consumer goods,Automobiles,S�dert�lje,1891
3034,Seavus,Technology,Software,Malm�,1999
3035,SEB Group,Financials,Investment services,Stockholm,1972
